SAMPLE_ID
HBCx-34_P9-0-0vs2.uniq.sortpos
PDX102_2_RNA-seq
PDX102_RNA-seq
PDX124_RNA-seq
PDX127_RNA-seq
PDX137_RNA-seq
PDX156_RNA-seq
PDX179_RNA-seq
PDX196_RNA-seq
PDX197_RNA-seq
PDX221_RNA-seq
PDX230OR1_RNA-seq
PDX230_RNA-seq
PDX236_RNA-seq
PDX270_RNA-seq
PDX274_RNA-seq
PDX280_RNA-seq
PDX288_RNA-seq
PDX291B_RNA-seq
PDX296_RNA-seq
PDX302OR_RNA-seq
PDX302_RNA-seq
PDX332_RNA-seq
PDX339_RNA-seq
PDX341_RNA-seq
PDX44_RNA-seq
PDX60_RNA-seq
PDX89_RNA-seq
PDX93OR6_RNA-seq
PDX93_RNA-seq
PDX94_RNA-seq
PDX98_RNA-seq
PDXJAL252_RNA-seq
PDXJAL467_RNA-seq
PDXJAL71_RNA-seq
STG139_RNA-seq
STG201OR1_RNA-seq
STG201_RNA-seq
STG316_RNA-seq
